Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
1,Reinigungsmitarbeiter/in,Ungelernt mit >20 Monaten Erfahrung,Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV aufgeführt sein. Personen mit einer abgeschlossenen Berufsausbildung im Reinigungsbereich müssen sich im entsprechenden Jobprofil registrieren.,"Ihre Aufgaben:
Office Arbeiten, Bestecke waschen und polieren, Gläser waschen, Ordnung halten, Reinigungsarbeiten

Ihr Profil:
 Sie bringen bereits Office Erfahrung mit und können bis um 01:00 Uhr nachts arbeiten können.",Gastronomie / Hotel,Zürich,8001,2112.5,25.0,28 Nov 2023,13
2,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
- Auffülltätigkeiten (Non Food Bereich)
- Anfallende Reinigungsarbeiten
- Mithilfe im Verkauf
- Kundenberatung

Anforderungen
- Robust (körperlich fit ohne Einschränkungen)
- Konversationssichere Deutschkenntnisse
- Verkaufserfahrungen/Detailhandel (Non Food Bereich) von Vorteil
- Zuverlässigkeit ist für Sie eine Selbstverständlichkeit
- Flexibel

Wichtig:
- Es kann auch vorkommen das man bis zu 41 h pro Woche arbeiten muss
- Einsatzzeiten sind fiktiv und werden vor Ort definiert
- ------ >> Einsatzzeiten sind zwischen 07:00 - 20:00 Uhr! << -------------
 (bei Ihrer Bewerbung gehen wir davon aus, das Sie bei Bedarf auch um 06.30 Uhr starten können)
- Sie sind auch samstags verfügbar (Mo - Sa)
- Es stehen bei der Filiale keine Mitarbeitende PW- Parkplätze zu Verfügung.",Detailhandel / Logistik,Rüschlikon,8803,4657.5,27.0,29 Nov 2023,23
4,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Paketsortierer/in 50 -60 % Frühschicht

Du verfügst über gute mündliche und schriftliche Deutschkenntnisse? Arbeiten am frühen Morgen bereitet dir keine Mühe? (ca.03.00 – 08.00) Du bist belastbar, verantwortungsbewusst und eine einsatzfreudige Persönlichkeit? Dann suchen wir genau dich! Dein Aufgabengebiet reicht von der Bedienung der Förderanlage über das Scanning der Pakte bis zum Entladen der Autos. 
Körperliche Fitness ist ein muss, da Pakete bis 30Kg wiegen.

Wir bieten dir:
- Gutes Arbeitsklima
- Familiäre Unternehmenskultur
- Motiviertes und aufgestelltes Team
- Zeitgemässe Arbeitsbedingungen

Bewerber welche an vielen / allen Tagen verfügbar sind werden berücksichtigt. 
Kein ÖV -Anschluss, man muss mobil sein",Promotion / Event,Schwyz,6423,2092.5,27.0,29 Nov 2023,19
5,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich! Einstieg als Temporärarbeiter mit Option auf Festanstellung bei «». COOPLE bietet:
• Anspruch auf Temptraining Weiterbildungs-Guthaben
• Monatlich Auswahl eines fleißigen Cooplers mit Geschenk und 50.- Gutschein.
• Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
• Winter-/Sommer-Bonus-Kampagne: Gewinnchance bis CHF 1'000 bei mehr als 5 Schichten.
• Gratis Tagespass für Skigebiet ab 30 Arbeitsstunden, gratis Saisonabo ab 100 Stunden.
• Treuebonus bei Vollzeiteinsatz: 1. Monat - 100 CHF Gutschein, 3. Monat - 150 CHF Gutschein, 6. Monat - 250 CHF Gutschein.

!ACHTUNG - SCHICHTZEITEN SIND FIKTIV!

Wir suchen dich als Mitarbeiter bei der . 
arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80-100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeit im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung der Grundreinigung.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis 
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Zürich,8001,61511.36,25.46,29 Nov 2023,302
6,"Verträger/in / Verteiler/in (Zeitungen, Flyer, Samples)",,,"An unseren zukünftigen Mitarbeiter:

Du arbeitest gerne selbständig und suchst eine Nebenbeschäftigung, mit der du in den Tag starten kannst? Dann sind die Einsätze bei als Frühzusteller*in genau das richtige für dich. Die Einsätze erfolgen von Montag bis Samstag zwischen 05.00 Uhr und 06.30 Uhr. Die Einsätze starten im Depot xx und enden mit dem letzten Briefkasten deiner Tour. Die Entschädigung für den jeweiligen Einsatz erfolgt auf einer Routenberechnung, somit handelt es sich um eine fixe Vergütung von CHF xx für diese Route bei einer realistischen und auf Erfahrungswerten basierenden Zeitannahme von xx Minuten. Das Gute daran, du kannst mit deiner Route auch schneller sein und die Entschädigung bleibt unverändert. Für dein eigenes Fahrzeug erhältst du aufgrund der Routenberechnung eine fixe Entschädigung von CHF xx. 

Wichtig, die Kunden erwarten ihre Zeitung pünktlich im Briefkasten, daher brauchen wir absoluten Verlass auf dich. Bist du ausserdem «wetterfest» und fit, dann sind die Einsätze genau das Richtige für dich!

Zusätzliche Informationen zu deinem Einsatz: 

Die Zeitungen liegen ab 05.00 Uhr für dich bereit. Du prüfst die korrekten Mengen und beladest dein Fahrzeug. Anschliessend bedienst du deine Kunden auf der Tour. Dabei hilft dir ein Tourenbuch mit den Adressen der Kunden, welches wir als App (EZB – Elektronisches Zustellbuch) bereitstellen.",Promotion / Event,Sigriswil,3655,992.94,25.46,29 Nov 2023,26
8,Logistiker/in,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Logistiker/in, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wir haben die perfekte Gelegenheit für dich! Suchst du einen Einstieg als Temporärarbeiter mit der Aussicht auf eine Festanstellung bei COOPLE? Hier sind einige der aufregenden Vorteile, die eine Anstellung bei uns mit sich bringt:

• Nutze dein Temptraining-Weiterbildungs-Guthaben. Alle Informationen findest du hier.
• Jeden Monat gibt es ein Geschenk für den fleißigsten Coopler, inklusive eines 50.- Gutscheins.
• Du kannst am ""We Are Coopler Wettbewerb"" teilnehmen und bis zu 500.- Bargeld gewinnen.
• In unserer Winter-/Sommer-Bonus-Kampagne hast du die Chance, CHF 1'000 zu gewinnen, indem du mehr als 5 Schichten innerhalb des Zeitraums absolvierst. Dabei erhöhst du deine Gewinnchance bei Vielfachen von 5 Schichten.

Das Beste daran? 
Deine Treue wird belohnt! Bei einem Vollzeiteinsatz erhältst du einen Bonus von insgesamt 500 CHF, aufgeteilt wie folgt: Nach dem 1. Monat 100 CHF, nach dem 3. Monat 150 CHF und nach dem 6. Monat 250 CHF.

!ACHTUNG - SCHICHTZEITEN SIND FIKTIV!
Arbeitsort Interlaken Ost
Pensum 60 - 100%
Nachtarbeit : Nein
Wochenendarbeit : Ja 
Schichtarbeit : Ja

Uhrzeit erste Schicht
ab sofort - 31.03.2024
Schichtdienste zwischen 05.00 – 01.30

Funktionsumschreibung
• Als Logistiker:in Distribution erwartet dich ein vielseitiges Arbeitsumfeld. Ob Arbeiten mit dem
Stapler, unterwegs mit dem Auto oder direkt am Bahnhof beim Fahrgast, 

Lagerbewirtschaftung
• Als Logistiker:in Distribution sortierst du Reisegepäck, Pakete und Briefe für unsere
Kundinnen und Kunden.
• Diese Sendungen lädst du in Züge und Lieferwagen um.
• Mit unseren Strassenfahrzeugen transportierst du die Sendungen an den Zielort.
• Du sorgst für saubere Innen-und Aussenräume am Bahnhof. Dazu gehört auch die
Bewirtschaftung der Recyclingkette
• Mit verschiedenen Reinigungsfahrzeugen sorgst du für einen sicheren Zugang zum Bahnhof
und den Zügen

Kompetenzen 
• Gegengewichtsstapler (inkl. Schubmaststapler) Fahrausweis
• Deutsch B1
• Kat B ( Auto oder Motorrad muss vorhanden sein )",Promotion / Event,Interlaken,3800,32180.48,32.44,29 Nov 2023,124
9,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich! Einstieg als Temporärarbeiter mit Option auf Festanstellung bei «». COOPLE bietet:
• Anspruch auf Temptraining Weiterbildungs-Guthaben
• Monatlich Auswahl eines fleißigen Cooplers mit Geschenk und 50.- Gutschein.
• Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
• Winter-/Sommer-Bonus-Kampagne: Gewinnchance bis CHF 1'000 bei mehr als 5 Schichten.
• Gratis Tagespass für Skigebiet ab 30 Arbeitsstunden, gratis Saisonabo ab 100 Stunden.
• Treuebonus bei Vollzeiteinsatz: 1. Monat - 100 CHF Gutschein, 3. Monat - 150 CHF Gutschein, 6. Monat - 250 CHF Gutschein.

Wir behalten uns vor, Bewerber direkt abzulehnen die gemäss Profilbeschreibung nicht passen.
Bei Fragen, wende dich bitte direkt an coople und nicht an die .
Die Kommunikation über ausgeschriebene Jobs, geht ausschliesslich über coople.

Arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Trägt durch selbstständiges Arbeiten in der und der Abfallentsorgung in Bahnhöfen und anderen zugewiesenen Objekten zur Zufriedenheit unserer Kunden:innen bei.
Verantwortet die Sauberkeit, die Ordnung sowie die Beseitigung von Schäden durch Vandalismus, damit sich unsere Kunden:innen in unseren Bahnhöfen und anderen Objekten sicher fühlen.
Hält Verfahren, Arbeitsmethoden und Reinigungsprotokolle bei der Ausführung der Aufgaben ein.
Stellt sicher, dass die Verfahren, Arbeitsmethoden und Reinigungsprotokolle von den Teams angewendet werden und dass die Lagerbereiche entsprechend den Anforderungen organisiert sind.


3Anforderung
- Kat. B Führerausweis (zwingend)
- Deutsch min. B2 Niveau (zwingend)",Gastronomie / Hotel,Wattwil,9630,65992.32,24.12,29 Nov 2023,342
10,"Verträger/in / Verteiler/in (Zeitungen, Flyer, Samples)",,,"An unseren zukünftigen Mitarbeiter:

Du arbeitest gerne selbständig und suchst eine Nebenbeschäftigung, mit der du in den Tag starten kannst? Dann sind die Einsätze bei als Frühzusteller*in genau das richtige für dich. Die Einsätze erfolgen von Montag bis Samstag zwischen 05.00 Uhr und 06.30 Uhr. Die Einsätze starten im Depot xx und enden mit dem letzten Briefkasten deiner Tour. Die Entschädigung für den jeweiligen Einsatz erfolgt auf einer Routenberechnung, somit handelt es sich um eine fixe Vergütung von CHF xx für diese Route bei einer realistischen und auf Erfahrungswerten basierenden Zeitannahme von xx Minuten. Das Gute daran, du kannst mit deiner Route auch schneller sein und die Entschädigung bleibt unverändert. Für dein eigenes Fahrzeug erhältst du aufgrund der Routenberechnung eine fixe Entschädigung von CHF xx. 

Wichtig, die Kunden erwarten ihre Zeitung pünktlich im Briefkasten, daher brauchen wir absoluten Verlass auf dich. Bist du ausserdem «wetterfest» und fit, dann sind die Einsätze genau das Richtige für dich!

Zusätzliche Informationen zu deinem Einsatz: 

Die Zeitungen liegen ab 05.00 Uhr für dich bereit. Du prüfst die korrekten Mengen und beladest dein Fahrzeug. Anschliessend bedienst du deine Kunden auf der Tour. Dabei hilft dir ein Tourenbuch mit den Adressen der Kunden, welches wir als App (EZB – Elektronisches Zustellbuch) bereitstellen.",Promotion / Event,Bönigen,3806,992.94,25.46,29 Nov 2023,26
12,Produktionsmitarbeiter/in,,,"Arbeitszeiten:
Frühschicht - 05.00 - 14.00 Uhr
Spätschicht - 13.55 - 23.00 Uhr (Freitags bis 22:20 Uhr)

Aufgaben: einfache Produktionstätigkeiten
• Fertigware verpacken
• Maschinen bestücken
• Reinigungsarbeiten
• Arbeitskleidung und -schuhe werden gestellt.
• Deutsch B1

Kompetenzen
• Einsatzwille, 
• Teamfähigkeit, 
• gute Auffassungsgabe 
• Einhaltung der Hygienevorschriften",,Winterthur,8400,1382.04,27.92,29 Nov 2023,6
13,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich! Einstieg als Temporärarbeiter mit Option auf Festanstellung bei «». COOPLE bietet:
• Anspruch auf Temptraining Weiterbildungs-Guthaben
• Monatlich Auswahl eines fleißigen Cooplers mit Geschenk und 50.- Gutschein.
• Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
• Winter-/Sommer-Bonus-Kampagne: Gewinnchance bis CHF 1'000 bei mehr als 5 Schichten.
• Gratis Tagespass für Skigebiet ab 30 Arbeitsstunden, gratis Saisonabo ab 100 Stunden.
• Treuebonus bei Vollzeiteinsatz: 1. Monat - 100 CHF Gutschein, 3. Monat - 150 CHF Gutschein, 6. Monat - 250 CHF Gutschein.

Wir suchen dich als Mitarbeiter bei der . 
arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80-100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeit im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung der Grundreinigung.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis 
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Zürich,8048,44402.24,25.46,29 Nov 2023,218
