,Unnamed: 0,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift,Region,Population,Area,Density,Urban
0,0,1,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,"Travail usuel de chef de rang:
- Mise en place
- Débarrassage
- Service des boissons
- Service des mets

Runner :
- Débarrassage et nettoyages usuels

Rapidité et flexibilité impératifs",Gastronomie / Hotel,Neuchâtel,2000,227.25,30.3,22 Aug 2023,1,Canton of Neuchâtel,32376.0,31.6,1024.5569620253164,True
1,1,2,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Funktionsumschreibung
* Der/Die Rangierdienstmitarbeiter/in (ZSTEBV) ist verantwortlich für sicheres, pünktliches, wirtschaftliches und kundenorientiertes Erbringen von Rangierleistungen gemäss Auftragserteilung und für die korrekte Anwendung der fahrdienstlichen Prozesse (FDV).

* Im Rangierbahnhof Limmattal bewegen sie sich im Gleisfeld, um stehende sowie rollende
Güterwagen. Dabei entsteht oft Lärm oder verschiedene Güterwagen prallen aufeinander.
Daher sollten sie nicht eine schreckhafte Person sein.
 * Die Mitarbeitenden benötigen eine sehr gute körperliche Verfassung, da sie pro Tag ca. 8km pro Tag laufen müssen. 
* In diesem Youtubevideo ([link hidden]) gibt es Sequenzen, welche die Tätigkeiten auch noch bildlich beschreiben. 
Tätigkeit 1 ""Langmachen"" 4:54-5:40, Tätigkeit 2 ""am Berg"": 6:45-7:25, Tätigkeit 3 ""Zusammenführen"" 08:55-10:30

Aufgabenschwerpunkte
Formation der Züge
*Vorbereitung der Züge zur Formation in die Ausfahrgleise bzw. zur Rangierbremsprobe inkl. Kontrolle der Bremsen
* Kuppelt und entkuppelt Triebfahrzeuge

Zugzerlegung
* Vorbereiten der ankommenden Züge gemäss Langmacherliste und Anweisungen
* Zerlegen mittels Kuppelstange der langgemachten Züge gemäss Zerlegerliste
* Kuppeln und Entkuppeln von Triebfahrzeugen und Wagen
* Melden von Unregelmässigkeiten, Abweichungen usw. an die zuständige Stelle

Wichtiges:
Vor der Anstellung muss ein Probearbeiten von 4 Stunden durchegführt werden und die medizinische Tauglichkeit vorliegen. 

Die Schichtpläne sind fünf Wochen im Voraus bekannt. Die Arbeit findet häufig in der Nacht statt. Dank der Schichtarbeit kannst du deine Freizeit individuell gestalten. Im 24-Stunden-Betrieb der bist du an Wochentagen, Wochenenden und Feiertagen im Einsatz. Unregelmässige Arbeitszeiten sind bei uns die Regel.",Promotion / Event,Spreitenbach,8957,34444.75,29.0,22 Aug 2023,132,Aargau,11587.0,8.6,1347.325581395349,True
2,2,3,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
- Auffülltätigkeiten (Non Food Bereich)
- Anfallende Reinigungsarbeiten
- Mithilfe im Verkauf
- Kundenberatung

Anforderungen
- Robust (körperlich fit ohne Einschränkungen)
- Konversationssichere Deutschkenntnisse
- Verkaufserfahrungen/Detailhandel (Non Food Bereich) von Vorteil
- Zuverlässigkeit ist für Sie eine Selbstverständlichkeit
- Flexibel

Wichtig:
- Es kann auch vorkommen das man bis zu 41 h pro Woche arbeiten muss
- Einsatzzeiten sind fiktiv und werden vor Ort definiert
- ------ >> Einsatzzeiten sind zwischen 07:00 - 20:00 Uhr! << -------------
 (bei Ihrer Bewerbung gehen wir davon aus, das Sie bei Bedarf auch um 06.30 Uhr starten können)
- Sie sind auch samstags verfügbar (Mo - Sa)
- Es stehen bei der Filiale keine Mitarbeitende PW- Parkplätze zu Verfügung.",Detailhandel / Logistik,Rüschlikon,8803,16605.0,27.0,23 Aug 2023,82,Canton of Zürich,6769.0,4.632,1461.3557858376512,True
3,3,4,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Entgegennahme von Ware, Bereitstellung von Ware für Gastronomie",Promotion / Event,Zürich-Flughafen,8058,1785.38,26.45,23 Aug 2023,9,Canton of Zürich,,,,False
4,4,5,Logistiker/in,Ungelernt mit >20 Monaten Erfahrung,Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV aufgeführt sein. Personen mit einer abgeschlossenen Berufsausbildung im Logistikbereich müssen sich im entsprechenden Jobprofil registrieren.,"!Die Einsatzzeiten im sind fiktiv!Den genauen Arbeitsplan erhältst du vor Ort!

Arbeitszeiten:
2-Schicht Betrieb: (Montag bis Samstag)
- Frühschicht: 05.00 - 14.30 Uhr
- Spätschicht: 13.00 - 22.00
(Montag und Dienstag bis max. 23.00 Uhr)

Deine Aufgaben:
- Vorbereiten der Ware für die Einlagerung
- Waren Transport
- Selbstständiges Kommissionieren von Kundenaufträgen
- Kommissionieren der Ware mit Scanner
- Ware für die Lieferung vorbereiten
- Allgemeine Lagerarbeiten

Dein Profil:
- Mobilität und Flexibilität bezüglich der Arbeitszeiten sind ZWINGEND
- Einsatzbereitschaft an einzelnen oder allen Tagen von Montag bis Samstag
- Du hast bereits Erfahrung im Lager oder in der Kommissionierung
- Du bist eine zuverlässige, verantwortungsbewusste, pünktliche und teamfähige Persönlichkeit
- Gute bis sehr gute Deutschkenntnisse (min. B1)
- Körperlich und geistig bist du fit und du bist dir körperliche Arbeit gewohnt
- Staplerprüfung (SUVA anerkannt) ZWINGEND [muss im Coople Profil ersichtlich sein]
- Mobil mit eigenem Auto oder in der Region Willisau wohnhaft (für die Frühschicht)
- Eigene Sicherheitsschuhe ZWINGEND mitnehmen

SICHERHEITSSCHUHE UND GÜLTIGER, SUVA ANERKANNTER STAPLERAUSWEIS SIND ZWINGEND MITZUNEHMEN: WIR BEHALTEN UNS DAS RECHT VOR, DICH ANDERNFALLS OHNE ANSPRUCH AUF VERGÜTUNG NACH HAUSE ZU SCHICKEN",Promotion / Event,Willisau,6130,6048.0,27.0,23 Aug 2023,28,Canton of Lucerne,6931.0,33.4,207.51497005988026,False
5,5,6,Handwerk & Auf-/Abbau,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit. Handwerkliches Geschick von Vorteil. Die Aufgaben können von einfachen Handlangertätigkeiten (z.B. Mobiliaraufbau), bis zu handwerklichen Tätigkeiten reichen.","Anlagenbetreuer Tiefkühl

 

Aufgaben

-Behebungen von Störungen (Anlagenbetreuer) 
-Unterstützung der Anlagenbediener/Lagermitarbeiter 
-Bedienen der Systeme und Anlage zur Sicherstellung des Betriebes 
-Erkennen von Fehlerfällen innerhalb der Prozesse im eigenen Aufgabenbereich 
-Information bei Prozessabweichungen 
-Einhaltung der Arbeitssicherheit 
-Einhalten der Betriebsordnung 
-Sicherstellung der Ordnung und Sauberkeit am Arbeitsplatz (QS) 
-Mitverantwortung für Zustand und Unterhalt der Infrastruktur und Anlagen 
-Umsetzen des Entsorgungskonzeptes 
-Aktives Mitwirken zur Erreichung der Abteilung – und Unternehmensziele 

 

 

Anforderungen: 
-Rasche Auffassungsgabe 
-Selbstständige Arbeitsweise 
-Belastbar und Zuverlässig 
-Gute mündliche und schriftliche Deutschkenntnisse 
-Computer– Kenntnisse 
-Interesse an Automation und Technik 
-Bereitschaft zur Schichtarbeit inkl. Wochenenden 
-Arbeit in gekühlter Umgebung bei -8°C (-23°C) 

Bereitschaft für Schicht und Samstagarbeit
Frühschicht: 05:30 - 14:15
Mittelschicht: 07:15 - 16:00
Spätschicht: 13:45 - 22:30

Freie Samstage gemäss Vorgabe

Schichtwechsel im Wochenrhythmus

Vor dem Probetagstart würden wir gerne die Kandidaten zu einer Schnupperstunde einladen
-Empfang Gebäude B 2OG - 08:15 Uhr
-Dauer Ca. 60 Minuten",Promotion / Event,Schafisheim,5503,42327.25,25.46,23 Aug 2023,190,Aargau,2848.0,6.3,452.06349206349205,True
6,6,7,Personenwagenfahrer/in (bis 3.5T),,,"Cahier des charges :

- Charger le camion à (colis pour la tournée y relative)
- Préparer la tournée à l'aide du logiciel spécifique
- Prise en charge de colis, selon protocole établi

Compétences :

- Connaître la région du Valais.
- Français et allemand parlé
- Sens de l'accueil
- Résistance physique

L'horaire de travail peut varié selon les arrivages du matin.

La mission de base peut etre prolongée dans le temps par la suite.

-----

Aufgaben:

- Transporter in beladen
- Die Tour mit dem Scanner und der spezifischen Software vorbereiten/planen
- Die Tour erledigen und die Pakete den Kunden zustellen
- Pakete gemäss Protokoll zurücknehmen

Fähigkeiten:

- Gute Ortskenntnisse in der Region
- Gut in Französisch und Deutsch
- Gute Umgangsform / Kundenorientiert
- Kräftig


Ihre Arbeitszeiten können variieren je nach Anzahl der Pakete / Stopps",Promotion / Event,Saillon,1913,422.1,24.12,23 Aug 2023,7,Valais,2487.0,9.1,273.2967032967033,False
7,7,8,Mitarbeiter(in) Passagierbetreuung,Betreuungs Agent 1,Grundausbildung wurde absolviert,,Luftverkehr,Zürich-Flughafen,8058,1053.0,26.0,23 Aug 2023,9,Canton of Zürich,,,,False
8,8,9,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wofür bist du verantwortlich?

Du arbeitest auf allen Posten in der Küche (Produktion und à la carte)
Du erstellst das tägliche Mise-en-place
Du hältst die vorgegebenen Rezepturen genau ein
Du setzt die internen HACCP-Richtlinien konsequent um

Was bringst du mit?

Eine abgeschlossene Ausbildung als Köchin/Koch EFZ
Gute Deutschkenntnisse, Englischkenntnisse von Vorteil
Ein grosses Interesse an unseren vegetarischen & veganen Köstlichkeiten
Bereitschaft zu Früh- und Spätdiensten ohne Zimmerstunde
Eine qualitätsbewusste Persönlichkeit mit Eigeninitiative und Hygienebewusstsein",Gastronomie / Hotel,Zürich,8001,4080.0,32.0,23 Aug 2023,15,Canton of Zürich,14094.0,1.86,7577.419354838709,True
9,9,10,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Wir suchen freundliche KellnerInnen für unsere Sportsbar im Airside Center am Flughafen Zürich
Deine Aufgaben:
Bestellungen aufnehmen, Tische vorbereiten, Speisen und Getränke servieren, verschiedene Reinigungsarbeiten durchführen. Deine Schlüsselkompetenzen: Erfahrung im Gastronomiegewerbe, Freundlichkeit und Aufgeschlossenheit, starke Kundenorientierung.",Gastronomie / Hotel,Kloten,8302,5292.0,24.5,23 Aug 2023,27,Canton of Zürich,23188.0,19.2,1207.7083333333335,True
