,Post Code,Counts,City,Region,Population,Area,Density,gig_per,urban
0,1003,3,Lausanne,Vaud,7617.0,0.82,9289.024390243903,0.03938558487593541,urban center
1,1006,11,Lausanne,Vaud,11538.0,1.553,7429.491307147457,0.0953371468192061,urban center
2,1010,1,Lausanne,Vaud,14897.0,2.856,5216.036414565827,0.006712760958582265,urban center
3,1022,1,,Vaud,6734.0,1.662,4051.7448856799037,0.01485001485001485,urban center
4,1024,3,Chavannes-près-Renens,Vaud,8810.0,4.829,1824.3942845309589,0.0340522133938706,urban center
5,1110,2,Morges,Vaud,12972.0,3.852,3367.601246105919,0.015417823003391921,urban center
6,1163,1,,Vaud,3172.0,4.916,645.240032546786,0.031525851197982346,urban
7,1201,8,Geneva,Canton of Geneva,21614.0,1.334,16202.3988005997,0.037013047099102435,urban center
8,1204,1,Geneva,Canton of Geneva,13563.0,1.015,13362.561576354681,0.007373000073730001,urban center
9,1205,3,Geneva,Canton of Geneva,29092.0,1.871,15548.904329235704,0.010312113295751409,urban center
10,1206,1,Geneva,Canton of Geneva,21517.0,1.864,11543.454935622318,0.004647488032718316,urban center
11,1207,1,Geneva,Canton of Geneva,14312.0,1.316,10875.379939209726,0.006987143655673561,urban center
12,1209,1,Geneva,Canton of Geneva,7438.0,0.994,7482.897384305835,0.013444474321054048,urban center
13,1214,1,,Canton of Geneva,13149.0,4.996,2631.9055244195356,0.007605141075366948,urban center
14,1218,1,,Canton of Geneva,10589.0,2.725,3885.8715596330276,0.009443762394938143,urban center
15,1227,1,Geneva,Canton of Geneva,38618.0,3.994,9669.003505257886,0.002589466052100057,urban center
16,1306,1,,Vaud,1238.0,5.4,229.25925925925924,0.08077544426494346,rural
17,1348,1,Le Brassus,Vaud,1633.0,66.2,24.667673716012082,0.0612369871402327,rural
18,1442,1,,Vaud,627.0,3.401,184.35754189944134,0.1594896331738437,rural
19,1452,4,,Vaud,719.0,4.502,159.7067969791204,0.5563282336578581,rural
20,1470,1,Lully Fribourg,Canton of Fribourg,6813.0,23.4,291.1538461538462,0.014677821811243212,rural
21,1630,2,Bulle,Canton of Fribourg,16371.0,12.4,1320.241935483871,0.012216724696108973,urban
22,1700,1,Fribourg,Canton of Fribourg,36265.0,9.7,3738.659793814433,0.002757479663587481,urban center
23,1716,1,Oberschrot,Canton of Fribourg,3069.0,46.3,66.28509719222463,0.03258390355164549,rural
24,1800,1,Vevey,Vaud,16167.0,2.395,6750.313152400835,0.0061854394754747325,urban center
25,1814,1,La Tour-de-Peilz,Vaud,10506.0,3.237,3245.5977757182577,0.009518370454978107,urban center
26,1913,4,,Valais,2487.0,9.1,273.2967032967033,0.16083634901487737,rural
27,1920,3,Martigny,Valais,17355.0,22.9,757.8602620087337,0.01728608470181504,urban
28,1936,2,Verbier,Valais,5941.0,24.7,240.5263157894737,0.033664366268305,rural
29,1950,1,Sion Switzerland,Valais,23580.0,17.5,1347.4285714285713,0.004240882103477523,urban
30,2000,5,Neuchâtel,Canton of Neuchâtel,32376.0,31.6,1024.5569620253164,0.015443538423523598,urban
31,2034,1,Peseux Switzerland,Canton of Neuchâtel,5917.0,3.397,1741.8310273770976,0.01690045631232043,urban center
32,2300,1,La Chaux-de-Fonds,Canton of Neuchâtel,36573.0,50.8,719.9409448818898,0.0027342575123725154,urban
33,2502,3,,Canton of Bern,16911.0,6.4,2642.34375,0.017739932588256166,urban center
34,2504,2,,Canton of Bern,23332.0,9.7,2405.360824742268,0.008571918395336876,urban center
35,2540,2,,Canton of Solothurn,15696.0,26.0,603.6923076923077,0.0127420998980632,urban
36,2555,1,Brügg Bern,Canton of Bern,4650.0,5.0,930.0,0.021505376344086023,urban
37,2800,2,Delémont,Canton of Jura,12886.0,22.2,580.4504504504505,0.01552072016141549,urban
38,2900,1,Porrentruy,Canton of Jura,6771.0,14.8,457.5,0.014768867227883621,urban
39,3001,57,Bern,Canton of Bern,,,,,unknown
40,3004,3,Bern,Canton of Bern,4589.0,2.559,1793.2786244626807,0.06537371976465461,urban center
41,3006,1,Bern,Canton of Bern,19772.0,5.3,3730.566037735849,0.0050576572931418165,urban center
42,3007,7,Bern,Canton of Bern,9352.0,1.935,4833.074935400517,0.0748502994011976,urban center
43,3008,3,Bern,Canton of Bern,11468.0,3.29,3485.714285714286,0.026159748866410884,urban center
44,3010,1,Bern,Canton of Bern,853.0,0.163,5233.128834355828,0.11723329425556858,urban center
45,3011,12,Bern,Canton of Bern,5476.0,0.963,5686.396677050883,0.2191380569758948,urban center
46,3012,2,,Canton of Bern,11755.0,5.3,2217.9245283018868,0.017014036580178648,urban center
47,3013,6,Bern,Canton of Bern,6259.0,1.359,4605.592347314202,0.09586195877935773,urban center
48,3014,13,Bern,Canton of Bern,14424.0,3.002,4804.796802131912,0.09012756516916251,urban center
