,Post Code,City,Region,Area,Population,Density
0,1000,Lausanne,Vaud,14.1,4072,288.79432624113474
1,1001,Lausanne,Vaud,,,
2,1002,Lausanne,Vaud,,,
3,1003,Lausanne,Vaud,0.82,6707,8179.2682926829275
4,1004,Lausanne,Vaud,2.272,31230,13745.598591549297
5,1005,Lausanne,Vaud,1.585,12386,7814.511041009464
6,1006,Lausanne,Vaud,1.553,15391,9910.49581455248
7,1007,Lausanne,Vaud,3.904,22538,5773.053278688525
8,1008,,Vaud,4.129,13749,3329.861952046501
9,1009,,Vaud,4.439,18851,4246.677179544942
10,1010,Lausanne,Vaud,2.856,15376,5383.753501400561
11,1011,Lausanne,Vaud,,33,
12,1012,Lausanne,Vaud,1.993,12042,6042.1475163070745
13,1014,Lausanne,Vaud,,,
14,1015,Lausanne,Vaud,0.986,,
15,1017,Lausanne,Vaud,,,
16,1018,Lausanne,Vaud,3.231,21021,6506.035283194058
17,1019,Lausanne,Vaud,,,
18,1020,Chavannes-près-Renens,Vaud,2.945,21086,7159.93208828523
19,1022,,Vaud,1.662,8737,5256.919374247895
20,1023,,Vaud,5.5,9200,1672.7272727272727
21,1024,Chavannes-près-Renens,Vaud,4.829,13118,2716.5044522675503
22,1025,Saint-Sulpice Vaud,Vaud,1.729,5046,2918.44997108155
23,1026,Denges,Vaud,5.5,4669,848.9090909090909
24,1027,,Vaud,3.713,2672,719.6337193643953
25,1028,,Vaud,1.874,5204,2776.9477054429026
26,1029,,Vaud,1.666,982,589.4357743097239
27,1030,Bussigny Vaud,Vaud,4.788,10365,2164.7869674185463
28,1031,Mex Vaud,Vaud,2.901,818,281.9717338848673
29,1032,,Vaud,6.0,4084,680.6666666666666
30,1033,Cheseaux-sur-Lausanne,Vaud,5.9,4720,800.0
31,1034,,Vaud,3.161,1006,318.2537171781082
32,1035,,Vaud,3.853,511,132.62392940565792
33,1036,,Vaud,3.835,1168,304.5632333767927
34,1037,,Vaud,3.796,1147,302.16016859852476
35,1038,,Vaud,4.232,1361,321.5973534971644
36,1039,Cheseaux-sur-Lausanne,Vaud,,,
37,1040,Villars-le-Terroir,Vaud,17.9,7925,442.7374301675978
38,1041,Naz,Vaud,23.1,3729,161.42857142857142
39,1042,,Vaud,12.2,2315,189.75409836065575
40,1043,Sugnens,Vaud,2.7,442,163.7037037037037
41,1044,,Vaud,7.4,737,99.5945945945946
42,1045,,Vaud,3.401,330,97.0302852102323
43,1046,,Vaud,1.981,303,152.95305401312467
44,1047,,Vaud,3.603,203,56.341937274493475
45,1052,Le Mont-sur-Lausanne,Vaud,9.8,9300,948.9795918367346
46,1053,Cugy,Vaud,10.7,3687,344.5794392523365
47,1054,Morrens,Vaud,3.675,1172,318.91156462585036
48,1055,,Vaud,7.1,2722,383.38028169014086
49,1058,Villars-Tiercelin,Vaud,4.991,455,91.164095371669
50,1059,Peney-le-Jorat,Vaud,4.48,434,96.87499999999999
51,1061,Villars-Mendraz,Vaud,1.544,256,165.80310880829015
52,1062,Sottens,Vaud,4.537,350,77.14348688560723
53,1063,Chapelle,Vaud,10.8,1186,109.81481481481481
54,1066,,Vaud,4.586,9822,2141.735717400785
55,1068,,Vaud,1.293,127,98.22119102861562
56,1070,,Vaud,22.8,2910,127.63157894736841
57,1071,Chexbres,Vaud,3.594,2977,828.3249860879243
58,1072,,Vaud,18.2,2043,112.25274725274726
59,1073,Savigny Switzerland,Vaud,16.3,3414,209.4478527607362
60,1076,Ferlens,Vaud,2.138,377,176.333021515435
61,1077,,Vaud,4.21,1294,307.3634204275534
62,1078,,Vaud,1.656,408,246.3768115942029
63,1080,Les Cullayes,Vaud,2.111,850,402.6527711984841
64,1081,,Vaud,4.213,661,156.89532399715168
65,1082,,Vaud,7.9,478,60.506329113924046
66,1083,Mézières Vaud,Vaud,3.482,1294,371.6255025847214
67,1084,Carrouge,Vaud,5.4,1435,265.7407407407407
68,1085,Vulliens,Vaud,6.6,631,95.60606060606061
69,1088,,Vaud,4.686,527,112.46265471617585
70,1090,,Vaud,4.353,1628,373.99494601424306
71,1091,,Vaud,5.5,2910,529.0909090909091
72,1092,,Vaud,2.669,3839,1438.3664293742975
73,1093,,Vaud,0.975,3012,3089.2307692307695
74,1094,Paudex,Vaud,0.477,1548,3245.2830188679245
75,1095,Lutry,Vaud,3.099,6090,1965.1500484027104
76,1096,Cully Switzerland,Vaud,1.185,1878,1584.8101265822784
77,1097,Riex,Vaud,1.374,334,243.08588064046577
78,1098,Epesses,Vaud,1.569,333,212.23709369024857
79,1099,Montpreveyres,Vaud,,,
80,1110,Morges,Vaud,3.852,17529,4550.623052959501
81,1112,,Vaud,2.538,1561,615.0512214342002
82,1113,,Vaud,3.826,629,164.40146366962884
83,1114,Colombier Vaud,Vaud,5.3,579,109.24528301886792
84,1115,,Vaud,6.8,561,82.5
85,1116,Cottens Vaud,Vaud,2.372,478,201.5177065767285
86,1117,,Vaud,5.7,489,85.78947368421052
87,1121,,Vaud,2.89,606,209.6885813148789
88,1122,,Vaud,1.765,460,260.6232294617564
89,1123,,Vaud,3.924,557,141.94699286442406
90,1124,,Vaud,5.4,1030,190.74074074074073
91,1125,Monnaz,Vaud,1.607,439,273.1798382078407
92,1126,,Vaud,2.109,185,87.71929824561404
93,1127,,Vaud,1.013,213,210.26653504442254
94,1128,,Vaud,1.198,413,344.74123539232056
95,1131,,Vaud,1.586,1890,1191.6771752837326
96,1132,Lully Vaud,Vaud,1.613,813,504.0297582145071
97,1134,,Vaud,3.026,1303,430.601454064772
98,1135,,Vaud,3.3,714,216.36363636363637
99,1136,,Vaud,3.074,410,133.37670787247887
