Date,Position,Freq,Salary,StartDate,Location,Days
20.11.2023 NEW,Nanny,Regelmässig,Marktüblich,,Lienz - St. Gallen,2-4 halbtage im monat
17.11.2023 NEW,Nanny,Regelmässig,Marktüblich,Januar/Februar 2024,Herrliberg - Zürich,4-5h
12.11.2023,Nacht-Nanny,Regelmässig,Marktüblich,Per sofort,Basel - Basel-Stadt,2 Nächte pro Woche
10.11.2023,Nanny,Regelmässig,Marktüblich,"ab Jan. 2024, vorher sporadisch",Oberägeri,1-2 Tage
10.11.2023,Nanny,Regelmässig,20-25 CHF,Mitte März,Kilchberg - Zürich,20 Stunden (Montag und Dienstag)
03.11.2023,Nanny,Regelmässig,Marktüblich,So bald wie möglich,Bassersdorf - Zürich,5 tage
03.11.2023,Nanny,Regelmässig,Marktüblich,Januar 2024,Buchberg,"Mo-Do, ca. 29 - 35 Std./Woche, vorerst befristet bis Sommer 2024"
30.10.2023,Nanny,Regelmässig,Marktüblich,Sofort,Teufen/ ZH - Zürich,"Halber Mittwoch, ganzer Donnerstag"
27.10.2023,Nanny,Regelmässig,Marktüblich,Januar 24,Kleinandelfingen - Zürich,1 Tag/ Woche
25.10.2023,Nanny/leichte Haushaltsarbeiten,Regelmässig,Marktüblich,1.1.2024,Zürich - Zürich,2/11 pro Woche
15.10.2023,Nanny,Regelmässig,Marktüblich,Februar/März 2024,Aarau - Aargau,1 Tag à ca 8-9 Stunden
07.10.2023,Nanny,Einmalig,20-25 CHF,09.00,Lenzerheide,1tag
06.10.2023,Nanny,Regelmässig,25-30 CHF,sofort,Schaffhausen - Schaffhausen,"Donnerstag, ~9 Stunden ab 7.45 Uhr"
06.10.2023,Nacht Nanny,Regelmässig,Marktüblich,Per sofort / baldmöglichst,Zurich - Zürich,2x Nächte / Woche
05.10.2023,Nanny / Haushaltshilfe,Regelmässig,Marktüblich,4. Januar 2024 oder nach Vereinbarung,Wädenswil - Zürich,1 Tag / 12 Stunden
25.09.2023,Nanny,Regelmässig,Marktüblich,01.03.2024,Stüsslingen - Solothurn,"Mo, Mi, Do, Fr; 8h/Tag"
14.09.2023,Nanny,Regelmässig,Marktüblich,Nach Absprache,Rombach - Aargau,Dienstag 7-18 Uhr
13.09.2023,Babysitter,Mehrmalig,Marktüblich,13.09.2023,Wohlen - Aargau,8h
12.09.2023,Nanny,Regelmässig,Marktüblich,,Stadt Bern,3x ca. 10h
09.09.2023,Babysitter oder Nanny,Regelmässig,Marktüblich,So bald als möglich,Jona - St. Gallen,4-6 Stunden an einem Tag (Freitag) optional Mittwochvormittag
24.08.2023,Nanny vor Ort,Regelmässig,25-30 CHF,01.11.2023 - 31.01.2024,Kloten - Zürich,3 Tage a 3-4 Stunden
22.08.2023,Kinderbetreuung,Regelmässig,20-25 CHF,,Winterthur - Zürich,0.5-2.5 Tage / Woche
17.08.2023,Nanny,Einmalig,Marktüblich,,Brüttisellen - Zürich,1 Tag
